,MSSR_1.0,Turnover,PctOfHomesIncreasingInValues,mimi,HS_StudentTeachRatio,MS_StudentTeachRatio,count_metro_bus_km,PriceIndex,FreddieMac15yr,distance_public_school_arts_center_km,MSSR_2.0,ListDate_dt_month,HSSR_1.0,CloseDate_dt_month,qcut_CloseDate_dt_month
11366,0.0,5.0469,90.86,79.3,15.2,13.5,30,189.5440738,3.52,3.6953385451,0.0,9,0.0,10,0
11367,0.0,3.8434,65.82,66.6,13.2,13.1,43,166.02525580000002,3.66,3.8047694778,0.0,10,0.0,10,0
11368,0.0,4.414,62.25,67.5,13.2,11.9,20,167.9615905,3.91,2.7715675406,0.0,8,0.0,8,0
11369,1.0,5.0643,10.74,68.0,7.1,11.5,69,168.7131123,3.68,9.0546242868,0.0,7,1.0,8,0
11370,1.0,5.2589999999999995,15.75,69.5,7.1,11.5,72,166.5574036,4.06,9.8037777796,0.0,4,1.0,6,0
11371,0.0,4.2428,53.98,66.6,13.2,11.9,20,166.02525580000002,3.66,2.7825642774,0.0,10,0.0,10,0
11372,1.0,5.1633,15.51,68.7,7.1,11.5,59,168.16883080000005,3.82,8.9872246868,0.0,5,1.0,11,0
11373,0.0,5.1595,89.96,78.8,15.2,13.5,27,188.6493901,3.3,2.8337339891,0.0,11,0.0,11,0
11374,1.0,4.3249,87.59,67.1,10.5,9.0,77,173.0314193,2.95,1.7536402583,0.0,6,1.0,8,0
11375,1.0,5.3022,95.49,72.6,10.5,9.0,78,185.6306252,2.72,1.7477674832,0.0,5,1.0,5,0
11376,1.0,5.0388,7.98,70.1,10.0,11.9,84,168.7854764,4.42,10.155808390599999,0.0,4,1.0,9,0
11377,0.0,4.0036,54.83,67.0,12.6,11.5,64,165.9509441,3.2,3.2945513688,1.0,3,0.0,3,0
11378,0.0,3.7665,76.36,67.2,15.2,13.5,33,171.19616330000005,3.03,3.2281907693000003,0.0,5,0.0,7,0
11379,0.0,4.444,53.52,78.8,13.9,12.4,20,194.1442297,3.21,2.7436625138,0.0,10,0.0,11,0
11380,0.0,4.8593,89.6,80.5,15.2,13.5,22,188.1721628,3.48,2.9738491424,0.0,12,0.0,2,0
11381,0.0,4.3013,80.69,68.5,15.2,13.5,22,174.7804831,2.66,4.0051967676,0.0,12,0.0,12,0
11382,1.0,5.7367,13.2,66.8,10.0,11.9,53,165.25843500000005,3.68,7.4740040198000015,0.0,11,1.0,3,0
11383,1.0,5.1258,16.83,68.7,10.3,7.4,76,170.4751925,4.18,1.767564228,0.0,6,0.0,1,0
11384,0.0,4.5753,73.14,79.0,13.9,14.6,58,195.8744368,3.24,4.4743971147,0.0,7,0.0,7,0
11385,1.0,4.1623,35.03,66.2,11.7,9.0,77,166.74153180000005,3.35,1.9587941598,0.0,10,0.0,7,0
11386,1.0,4.343,83.84,67.2,10.5,9.0,75,171.19616330000005,3.03,1.8902207748,0.0,5,1.0,8,0
11387,0.0,3.8667,24.84,66.2,15.0,11.5,64,166.74153180000005,3.35,3.1666866833,1.0,10,1.0,12,0
11388,0.0,3.7665,76.36,67.2,15.2,13.5,20,171.19616330000005,3.03,2.8154928696,0.0,5,0.0,9,0
11389,0.0,4.2237,58.54,68.7,13.2,11.9,32,170.4751925,4.18,3.3857205676,0.0,6,0.0,7,0
11390,0.0,3.8404,74.03,67.1,15.2,13.5,29,168.5979178,3.14,3.6627607446,0.0,4,0.0,6,0
11391,0.0,3.6838,35.76,69.5,14.8,15.0,49,166.5574036,4.06,4.4344152395,0.0,4,0.0,6,0
11392,0.0,4.3084,53.91,67.2,15.2,15.0,48,171.19616330000005,3.03,4.4070201131,0.0,5,0.0,6,0
11393,0.0,4.0158,50.57,66.1,14.8,15.0,38,165.7220839,3.31,4.7710216726,0.0,11,0.0,11,0
11394,1.0,5.2176,95.07,71.5,10.5,9.0,74,182.5429545,2.66,1.8235294755,0.0,4,1.0,4,0
11395,0.0,4.8733,97.89,78.1,12.6,11.5,64,189.236479,3.27,3.171752498,1.0,10,0.0,11,0
11396,0.0,4.5753,73.14,79.0,13.9,12.4,27,195.8744368,3.24,2.7796375677,0.0,7,0.0,7,0
11397,1.0,3.7222,76.94,70.5,15.5,11.5,57,176.82254369999995,2.77,9.0038448939,0.0,2,1.0,2,0
11398,0.0,4.9811,19.03,66.2,14.8,13.5,18,166.74153180000005,3.35,2.5198864891,0.0,10,0.0,1,0
11399,0.0,4.2806,27.52,67.0,14.8,13.5,32,168.14317490000005,3.46,3.19909317,0.0,8,0.0,8,0
11400,1.0,4.364,90.37,66.9,10.5,9.0,77,174.1138544,2.85,1.7561199307,0.0,7,1.0,7,0
11401,1.0,5.4311,12.73,67.5,10.0,11.9,74,167.9615905,3.91,9.1250275904,0.0,8,1.0,9,0
11402,1.0,5.0324,31.78,66.6,10.3,7.4,77,166.02525580000002,3.66,1.9688717991,0.0,10,0.0,11,0
11403,0.0,4.1088,53.36,69.3,13.2,13.1,51,167.1401414,4.33,4.592052875799999,0.0,3,0.0,3,0
11404,1.0,4.4942,92.74,67.7,10.5,9.0,74,175.0512181,2.69,1.9001297534,0.0,10,1.0,11,0
11405,1.0,5.4483,97.84,79.3,10.5,9.0,74,189.5440738,3.52,1.8285868247,0.0,9,1.0,9,0
11406,1.0,4.4269,26.32,69.5,11.7,9.0,81,164.60666940000004,4.08,1.7634471945,0.0,3,0.0,8,0
11407,0.0,4.6717,90.94,79.8,13.9,12.4,34,188.9390719,3.35,3.2927400864,0.0,2,0.0,2,0
11408,0.0,3.9919,25.02,68.0,15.0,11.5,78,168.7131123,3.68,3.8329368975,1.0,7,1.0,9,0
11409,0.0,4.2237,58.54,68.7,13.2,13.1,51,170.4751925,4.18,4.463371288299999,0.0,6,0.0,6,0
