,Bedrooms,distance_public_school_mid_km,distance_public_school_elem_km,distance_public_school_edu_campus_km,distance_metro_station_km,distance_metro_bus_km,distance_grocery_km,distance_cap_gain_school_km,count_metro_bus_km,AvgFamilyIncAdj_2010_14,mimi,FreddieMac15yr,PriceIndex,zip_20007,BathsHalf,PctOfHomesDecreasingInValues,MedianValuePerSqft,SaleCount,TaxTotalLivingArea,BathsFull,Levels,TotalTaxes2,Fireplaces,Acres,DOMP,ListPrice2,qcut_ListPrice2
12602,3,2.4122744639,0.7840830119,7.2488536444,2.3417230562,0.1010350083,1.3651847578,3.056880528,52,264688.0,72.6,2.72,185.6306252,0.0,1.0,6.16,453.0,2,1485.0,3,3,6395.0,1,0.087,16,849000,0
12603,3,1.7394822638999998,0.7741650156000001,5.1805364442,0.3099363586,0.1572308277,3.0383078934,1.7394659863,67,52687.0,79.3,3.52,189.5440738,0.0,1.0,4.83,176.0,1,780.0,1,3,1197.0,0,0.046,45,157000,0
12604,3,2.2565105329,0.6372389097,7.1054357119,2.2246004101,0.0390569833,1.237154744,3.039739908,54,264688.0,68.9,4.28,170.1945226,0.0,1.0,24.19,437.0,3,1318.0,2,3,6339.0,1,0.071,9,699000,0
12605,4,2.1736437203,0.5282569019,7.1649947327999985,2.0225638580000003,0.235385512,1.0569019798,3.2796515457,58,264688.0,68.0,3.69,168.89499540000003,0.0,2.0,42.17,432.0,2,2538.0,2,4,10942.0,1,0.155,43,1199000,0
12606,4,2.3294897577,0.7090351579999999,7.1631490085000005,2.2877771731,0.032544249500000004,1.3036954173,3.0302438807,56,264688.0,68.7,4.18,170.4751925,0.0,1.0,19.12,437.0,1,1645.0,3,3,6772.0,1,0.113,25,849900,0
12607,3,0.7763461222,0.2285919304,8.1835280443,1.7798380622,0.17007949030000002,2.1499635183000003,0.7763588611,110,44289.0,68.6,4.06,164.18939319999996,0.0,1.0,84.29,163.0,2,896.0,1,3,1411.0,0,0.053,862,147900,0
12608,2,1.2514459117,0.65484665,2.7794084089,0.9497873945,0.1227020509,0.9404540484,3.6426861668,85,108639.0,69.5,4.08,164.60666940000004,0.0,0.0,36.28,408.0,2,1122.0,2,3,2406.0,1,0.039,93,283000,0
12609,3,1.4397235521,0.4676772418,8.846816314,2.3965108794,0.06704481,2.7024931146,1.4397362317,105,44289.0,79.0,3.31,194.4612831,0.0,1.0,39.81,181.0,2,1088.0,2,3,1236.0,0,0.04,58,259500,0
12610,4,2.9469425911,0.3838626752000001,5.4850630189,1.5821472604,0.1258115218,1.1270393702,1.178565252,69,92969.0,79.3,3.52,189.5440738,0.0,1.0,1.35,284.0,2,1513.0,3,3,2225.0,1,0.059,22,679500,0
12611,5,2.413457049,0.8381944992,7.1284757664999985,2.4499976789,0.1928093573,1.4567912099,2.8498684509,55,264688.0,69.5,4.08,164.60666940000004,0.0,2.0,42.68,430.0,1,3165.0,3,4,9719.0,3,0.268,2,1625000,0
12612,4,2.477158647,0.8611570464,7.2632625274,2.432932679,0.1779310995,1.4528536711000002,2.9855706359,52,264688.0,67.5,3.91,167.9615905,0.0,0.0,19.23,437.0,1,1721.0,3,4,7149.0,1,0.114,1,789000,0
12613,4,0.9758484779,1.1474399085,4.6879989757,0.8849357759,0.2121490683,1.1614099216,2.1290179346,87,82854.0,67.2,3.03,171.19616330000005,0.0,0.0,16.48,236.0,1,1408.0,2,3,2790.0,0,0.069,271,319000,0
