,PctOfHomesDecreasingInValues,distance_grocery_km,distance_public_school_arts_center_km,distance_public_school_ye_km,ListPrice2_delta,FreddieMac15yr,PriceIndex,distance_cap_gain_school_km,SaleCount,TaxTotalLivingArea,count_metro_station_km,YearBuilt,Acres,Bedrooms,BasementY/N,Fireplaces,TotalTaxes2,DOMP,qcut_DOMP
1266,1.52,0.9342841206,4.7075107441,0.7465108189,0.4671361502347418,3.52,189.5440738,1.4162872207,1,3335.0,0,1928,0.13,5,1,0,4344.0,0,0
1267,47.95,1.8287964806,8.8003712332,2.6427147421,-0.40282844733984796,3.14,168.5979178,2.7699662163,2,1372.0,3,1905,0.048,3,1,0,1760.0,24,0
1268,1.29,0.0954976637,0.6747802387999999,1.3657221488999998,0.26105263157894737,2.72,185.6306252,3.3019785643,1,1675.0,6,1970,0.0,2,0,1,5121.0,59,0
1269,49.85,0.0954976637,0.6747802387999999,1.3657221488999998,0.2957294495186374,4.06,166.5574036,3.3019785643,1,1066.0,6,2004,0.0,2,0,0,3910.0,44,0
1270,46.95,0.0954976637,0.6747802387999999,1.3657221488999998,0.7505634861006761,3.32,167.5460189,3.3019785643,1,1688.0,6,2003,0.0,2,0,0,5336.0,47,0
1271,3.55,1.2471121862,8.2131773178,1.7981342349,0.3261982317356911,3.3,188.6493901,2.6677298151,1,1216.0,0,1953,0.026,3,1,0,1562.0,22,0
1272,47.95,1.3864884546,8.3440312709,1.917778123,0.7909880564603692,3.14,168.5979178,2.8007918215,1,1852.0,1,1928,0.092,5,1,0,2118.0,11,0
1273,2.57,0.5569676922,3.4888842584,1.077240611,0.7572727272727273,2.76,179.37516409999995,1.0943313286,2,1500.0,0,1936,0.07400000000000001,4,1,1,2742.0,5,0
1274,3.38,1.6443436715000002,8.5505355704,2.1855698748,-0.19324131366016184,3.52,189.5440738,3.0709131355,1,2372.0,3,1905,0.161,4,0,0,2261.0,18,0
1275,57.74,0.6039433296,3.3229333975,0.7473068304,-0.6095238095238096,4.42,168.7854764,1.6697603215,2,1312.0,5,1906,0.025,3,0,0,3425.0,2,0
1276,23.4,1.6059477473,8.636053729,1.3792044405,0.7234042553191491,2.86,174.6158156,2.3512373256,1,2440.0,0,2007,0.085,4,1,0,3572.0,14,0
1277,25.98,0.2431769543,1.7321054775,1.3056946547,0.5275793650793651,3.31,194.4612831,3.3410423357,1,1344.0,6,1911,0.033,4,1,1,3008.0,5,0
1278,4.13,0.8943149443999999,4.746304105,0.7680871884999999,-0.22918807810894146,2.66,174.7804831,1.425905385,2,1456.0,0,1905,0.03,3,1,2,2407.0,43,0
1279,83.26,0.5171386286999999,0.4390952204,0.5909809158,0.7140058765915769,4.33,167.1401414,2.5185189458000004,1,1822.0,3,1917,0.062,3,1,1,4552.0,42,0
1280,9.96,0.5568736688,0.4085428411,0.7012860213,0.6720019111323459,3.14,168.5979178,2.628275806,1,1796.0,6,1919,0.055,4,1,1,2913.0,0,0
1281,82.23,3.3760961396,11.1862830138,1.7685747022999998,-0.1649025069637883,3.68,165.25843500000005,1.8078845846,2,864.0,0,1942,0.053,3,1,0,1921.0,35,0
1282,3.11,1.4718557411000002,2.1440990794,1.7031135912,0.07083690374178805,2.66,182.5429545,2.5481872691,3,1225.0,1,1942,0.046,3,1,0,2598.0,35,0
1283,25.89,2.2433913562,10.4659372655,0.4746007092,0.12884503772489844,3.2,165.9509441,0.6342678733,2,1008.0,0,1940,0.086,3,1,0,1559.0,0,0
1284,6.31,0.6997267264,2.0549157165,3.028873169,2.4390703517587937,2.66,174.9641855,2.0549223859,1,1800.0,11,1910,0.0,3,0,3,7713.0,21,0
1285,3.73,1.0160998001,3.5228779794,0.6550979981,0.3720646538578835,2.77,176.82254369999995,0.9587275615,2,916.0,3,1925,0.119,3,1,0,2845.0,36,0
1286,38.53,0.698721583,2.1819944442,2.9139215867000003,-0.05123655913978495,4.08,164.60666940000004,2.1820012437000003,1,503.0,12,1963,0.0,1,0,0,2351.0,5,0
1287,45.42,0.698721583,2.1819944442,2.9139215867000003,-0.09581218274111676,4.22,163.3624446,2.1820012437000003,1,501.0,12,1963,0.0,0,0,0,2344.0,52,0
1288,1.77,0.698721583,2.1819944442,2.9139215867000003,-0.10713859910581222,3.49,189.6382211,2.1820012437000003,1,503.0,12,1963,0.0,0,0,0,2161.0,10,0
1289,1.77,0.698721583,2.1819944442,2.9139215867000003,0.04321907600596125,3.49,189.6382211,2.1820012437000003,1,760.0,12,1963,0.0,1,0,0,2860.0,10,0
1290,36.06,0.698721583,2.1819944442,2.9139215867000003,0.3253402462734932,3.2,165.9509441,2.1820012437000003,1,979.0,12,1963,0.0,2,0,0,3399.0,90,0
