RegionName,StateName,Month,Sales
20007,DC,2012-12,74
20007,DC,2013-01,54
20007,DC,2013-02,28
20007,DC,2013-03,45
20007,DC,2013-04,57
20007,DC,2013-05,58
20007,DC,2013-06,77
20007,DC,2013-07,58
20007,DC,2013-08,45
20007,DC,2013-09,45
20007,DC,2013-10,22
20007,DC,2013-11,37
20007,DC,2013-12,54
20007,DC,2014-01,34
20007,DC,2014-02,31
20007,DC,2014-03,26
20007,DC,2014-04,39
20007,DC,2014-05,41
20007,DC,2014-06,80
20007,DC,2014-07,44
20007,DC,2014-08,49
20007,DC,2014-09,32
20007,DC,2014-10,43
20007,DC,2014-11,27
20007,DC,2014-12,38
20007,DC,2015-01,27
20007,DC,2015-02,26
20007,DC,2015-03,37
20007,DC,2015-04,38
20007,DC,2015-05,35
20007,DC,2015-06,68
20007,DC,2015-07,66
20007,DC,2015-08,40
20007,DC,2015-09,44
20007,DC,2015-10,29
20007,DC,2015-11,23
20007,DC,2015-12,43
20007,DC,2016-01,33
20007,DC,2016-02,46
20007,DC,2016-03,39
20007,DC,2016-04,52
20007,DC,2016-05,41
20007,DC,2016-06,22
20008,DC,2008-06,41
20008,DC,2008-07,29
20008,DC,2008-08,32
20008,DC,2008-09,28
20008,DC,2008-10,16
20008,DC,2008-11,23
20008,DC,2008-12,11
20008,DC,2009-01,8
20008,DC,2009-02,15
20008,DC,2009-03,23
20008,DC,2009-04,30
20008,DC,2009-05,21
20008,DC,2009-06,34
20008,DC,2009-07,39
20008,DC,2009-08,23
20008,DC,2009-09,30
20008,DC,2009-10,11
20008,DC,2009-11,25
20008,DC,2009-12,35
20008,DC,2010-01,13
20008,DC,2010-02,14
20008,DC,2010-03,19
20008,DC,2010-04,26
20008,DC,2010-05,27
20008,DC,2010-06,22
20008,DC,2010-07,22
20008,DC,2010-08,31
20008,DC,2010-09,19
20008,DC,2010-10,21
20008,DC,2010-11,20
20008,DC,2010-12,17
20008,DC,2011-01,23
20008,DC,2011-02,19
20008,DC,2011-03,24
20008,DC,2011-04,22
20008,DC,2011-05,35
20008,DC,2011-06,25
20008,DC,2011-07,24
20008,DC,2011-08,33
20008,DC,2011-09,32
20008,DC,2011-10,21
20008,DC,2011-11,22
20008,DC,2011-12,33
20008,DC,2012-01,19
20008,DC,2012-02,22
20008,DC,2012-03,30
20008,DC,2012-04,24
20008,DC,2012-05,31
20008,DC,2012-06,42
20008,DC,2012-07,37
20008,DC,2012-08,31
20008,DC,2012-09,25
20008,DC,2012-10,35
20008,DC,2012-11,38
20008,DC,2012-12,38
20008,DC,2013-01,30
20008,DC,2013-02,17
20008,DC,2013-03,33
20008,DC,2013-04,27
20008,DC,2013-05,42
20008,DC,2013-06,53
20008,DC,2013-07,40
20008,DC,2013-08,39
20008,DC,2013-09,32
20008,DC,2013-10,34
20008,DC,2013-11,33
20008,DC,2013-12,17
20008,DC,2014-01,17
20008,DC,2014-02,23
20008,DC,2014-03,27
20008,DC,2014-04,18
20008,DC,2014-05,23
20008,DC,2014-06,32
20008,DC,2014-07,38
20008,DC,2014-08,29
20008,DC,2014-09,21
20008,DC,2014-10,30
20008,DC,2014-11,20
20008,DC,2014-12,30
20008,DC,2015-01,19
20008,DC,2015-02,13
20008,DC,2015-03,20
20008,DC,2015-04,27
20008,DC,2015-05,26
20008,DC,2015-06,32
20008,DC,2015-07,42
20008,DC,2015-08,21
20008,DC,2015-09,33
20008,DC,2015-10,21
20008,DC,2015-11,25
20008,DC,2015-12,23
20008,DC,2016-01,13
20008,DC,2016-02,17
20008,DC,2016-03,16
20008,DC,2016-04,29
20008,DC,2016-05,29
20008,DC,2016-06,22
20009,DC,2008-06,86
20009,DC,2008-07,90
20009,DC,2008-08,64
20009,DC,2008-09,75
20009,DC,2008-10,53
20009,DC,2008-11,48
20009,DC,2008-12,61
20009,DC,2009-01,28
20009,DC,2009-02,37
20009,DC,2009-03,53
20009,DC,2009-04,76
20009,DC,2009-05,74
20009,DC,2009-06,91
20009,DC,2009-07,79
20009,DC,2009-08,97
20009,DC,2009-09,81
20009,DC,2009-10,75
20009,DC,2009-11,66
20009,DC,2009-12,61
20009,DC,2010-01,39
20009,DC,2010-02,29
20009,DC,2010-03,80
20009,DC,2010-04,54
20009,DC,2010-05,83
20009,DC,2010-06,75
20009,DC,2010-07,60
20009,DC,2010-08,85
20009,DC,2010-09,71
20009,DC,2010-10,43
20009,DC,2010-11,61
20009,DC,2010-12,48
20009,DC,2011-01,51
20009,DC,2011-02,33
20009,DC,2011-03,52
20009,DC,2011-04,46
20009,DC,2011-05,75
20009,DC,2011-06,72
20009,DC,2011-07,57
20009,DC,2011-08,72
20009,DC,2011-09,61
20009,DC,2011-10,41
20009,DC,2011-11,34
20009,DC,2011-12,54
20009,DC,2012-01,54
20009,DC,2012-02,49
20009,DC,2012-03,75
20009,DC,2012-04,75
20009,DC,2012-05,76
20009,DC,2012-06,75
20009,DC,2012-07,79
20009,DC,2012-08,67
20009,DC,2012-09,75
20009,DC,2012-10,60
20009,DC,2012-11,64
20009,DC,2012-12,82
20009,DC,2013-01,73
20009,DC,2013-02,82
20009,DC,2013-03,77
20009,DC,2013-04,97
20009,DC,2013-05,151
20009,DC,2013-06,156
20009,DC,2013-07,112
20009,DC,2013-08,85
20009,DC,2013-09,68
20009,DC,2013-10,70
20009,DC,2013-11,63
20009,DC,2013-12,58
20009,DC,2014-01,44
20009,DC,2014-02,39
20009,DC,2014-03,49
20009,DC,2014-04,77
20009,DC,2014-05,77
20009,DC,2014-06,80
20009,DC,2014-07,73
20009,DC,2014-08,55
20009,DC,2014-09,62
20009,DC,2014-10,76
20009,DC,2014-11,55
20009,DC,2014-12,59
20009,DC,2015-01,23
20009,DC,2015-02,27
20009,DC,2015-03,51
20009,DC,2015-04,63
20009,DC,2015-05,77
20009,DC,2015-06,88
20009,DC,2015-07,88
20009,DC,2015-08,57
20009,DC,2015-09,78
20009,DC,2015-10,87
20009,DC,2015-11,55
20009,DC,2015-12,67
20009,DC,2016-01,51
20009,DC,2016-02,29
20009,DC,2016-03,63
20009,DC,2016-04,83
20009,DC,2016-05,71
20009,DC,2016-06,48
20010,DC,2008-06,20
20010,DC,2008-07,38
20010,DC,2008-08,28
20010,DC,2008-09,27
20010,DC,2008-10,18
20010,DC,2008-11,15
20010,DC,2008-12,26
20010,DC,2009-01,9
20010,DC,2009-02,11
20010,DC,2009-03,33
20010,DC,2009-04,23
20010,DC,2009-05,25
20010,DC,2009-06,25
20010,DC,2009-07,22
20010,DC,2009-08,45
20010,DC,2009-09,40
20010,DC,2009-10,34
20010,DC,2009-11,36
20010,DC,2009-12,27
20010,DC,2010-01,19
20010,DC,2010-02,16
20010,DC,2010-03,27
20010,DC,2010-04,26
20010,DC,2010-05,31
20010,DC,2010-06,35
20010,DC,2010-07,24
20010,DC,2010-08,26
20010,DC,2010-09,20
20010,DC,2010-10,22
20010,DC,2010-11,33
20010,DC,2010-12,20
20010,DC,2011-01,22
20010,DC,2011-02,22
20010,DC,2011-03,33
20010,DC,2011-04,17
20010,DC,2011-05,34
20010,DC,2011-06,37
20010,DC,2011-07,17
20010,DC,2011-08,35
20010,DC,2011-09,22
20010,DC,2011-10,16
20010,DC,2011-11,23
20010,DC,2011-12,23
20010,DC,2012-01,9
20010,DC,2012-02,14
20010,DC,2012-03,35
20010,DC,2012-04,33
20010,DC,2012-05,20
20010,DC,2012-06,29
20010,DC,2012-07,23
20010,DC,2012-08,35
20010,DC,2012-09,22
20010,DC,2012-10,34
20010,DC,2012-11,42
20010,DC,2012-12,67
20010,DC,2013-01,43
20010,DC,2013-02,24
20010,DC,2013-03,25
20010,DC,2013-04,38
20010,DC,2013-05,17
20010,DC,2013-06,39
20010,DC,2013-07,22
20010,DC,2013-08,35
20010,DC,2013-09,18
20010,DC,2013-10,37
20010,DC,2013-11,31
20010,DC,2013-12,42
20010,DC,2014-01,37
20010,DC,2014-02,38
20010,DC,2014-03,48
20010,DC,2014-04,37
20010,DC,2014-05,33
20010,DC,2014-06,38
20010,DC,2014-07,42
20010,DC,2014-08,25
20010,DC,2014-09,33
20010,DC,2014-10,40
20010,DC,2014-11,27
20010,DC,2014-12,26
20010,DC,2015-01,19
20010,DC,2015-02,13
20010,DC,2015-03,27
20010,DC,2015-04,28
20010,DC,2015-05,34
20010,DC,2015-06,38
20010,DC,2015-07,37
20010,DC,2015-08,26
20010,DC,2015-09,30
20010,DC,2015-10,22
20010,DC,2015-11,24
20010,DC,2015-12,24
20010,DC,2016-01,14
20010,DC,2016-02,19
20010,DC,2016-03,15
20010,DC,2016-04,29
20010,DC,2016-05,27
20010,DC,2016-06,22
20011,DC,2008-06,58
20011,DC,2008-07,59
20011,DC,2008-08,57
20011,DC,2008-09,54
20011,DC,2008-10,38
20011,DC,2008-11,43
20011,DC,2008-12,43
20011,DC,2009-01,41
20011,DC,2009-02,26
