RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,PctOfHomesDecreasingInValues
66126,20002,Washington,DC,Washington,District of Columbia,33,2005-06,0.62
66126,20002,Washington,DC,Washington,District of Columbia,33,2005-07,0.74
66126,20002,Washington,DC,Washington,District of Columbia,33,2005-08,0.75
66126,20002,Washington,DC,Washington,District of Columbia,33,2005-09,1.87
66126,20002,Washington,DC,Washington,District of Columbia,33,2005-10,1.26
66126,20002,Washington,DC,Washington,District of Columbia,33,2005-11,1.12
66126,20002,Washington,DC,Washington,District of Columbia,33,2005-12,1.53
66126,20002,Washington,DC,Washington,District of Columbia,33,2006-01,2.05
66126,20002,Washington,DC,Washington,District of Columbia,33,2006-02,2.7
66126,20002,Washington,DC,Washington,District of Columbia,33,2006-03,3.5
66126,20002,Washington,DC,Washington,District of Columbia,33,2006-04,4.2
66126,20002,Washington,DC,Washington,District of Columbia,33,2006-05,5.02
66126,20002,Washington,DC,Washington,District of Columbia,33,2006-06,9.13
66126,20002,Washington,DC,Washington,District of Columbia,33,2006-07,15.75
66126,20002,Washington,DC,Washington,District of Columbia,33,2006-08,22.42
66126,20002,Washington,DC,Washington,District of Columbia,33,2006-09,30.44
66126,20002,Washington,DC,Washington,District of Columbia,33,2006-10,36.64
66126,20002,Washington,DC,Washington,District of Columbia,33,2006-11,41.83
66126,20002,Washington,DC,Washington,District of Columbia,33,2006-12,49.24
66126,20002,Washington,DC,Washington,District of Columbia,33,2007-01,50.68
66126,20002,Washington,DC,Washington,District of Columbia,33,2007-02,54.31
66126,20002,Washington,DC,Washington,District of Columbia,33,2007-03,51.85
66126,20002,Washington,DC,Washington,District of Columbia,33,2007-04,53.15
66126,20002,Washington,DC,Washington,District of Columbia,33,2007-05,52.65
66126,20002,Washington,DC,Washington,District of Columbia,33,2007-06,49.51
66126,20002,Washington,DC,Washington,District of Columbia,33,2007-07,48.86
66126,20002,Washington,DC,Washington,District of Columbia,33,2007-08,45.17
66126,20002,Washington,DC,Washington,District of Columbia,33,2007-09,45.04
66126,20002,Washington,DC,Washington,District of Columbia,33,2007-10,48.05
66126,20002,Washington,DC,Washington,District of Columbia,33,2007-11,50.61
66126,20002,Washington,DC,Washington,District of Columbia,33,2007-12,53.18
66126,20002,Washington,DC,Washington,District of Columbia,33,2008-01,58.14
66126,20002,Washington,DC,Washington,District of Columbia,33,2008-02,62.64
66126,20002,Washington,DC,Washington,District of Columbia,33,2008-03,72.5
66126,20002,Washington,DC,Washington,District of Columbia,33,2008-04,76.68
66126,20002,Washington,DC,Washington,District of Columbia,33,2008-05,80.13
66126,20002,Washington,DC,Washington,District of Columbia,33,2008-06,82.57
66126,20002,Washington,DC,Washington,District of Columbia,33,2008-07,85.48
66126,20002,Washington,DC,Washington,District of Columbia,33,2008-08,89.45
66126,20002,Washington,DC,Washington,District of Columbia,33,2008-09,89.45
66126,20002,Washington,DC,Washington,District of Columbia,33,2008-10,87.91
