RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,MedianValuePerSqft
66155,20037,Washington,DC,Washington,District of Columbia,5557,2000-06,242
66155,20037,Washington,DC,Washington,District of Columbia,5557,2000-07,244
66155,20037,Washington,DC,Washington,District of Columbia,5557,2000-08,249
66155,20037,Washington,DC,Washington,District of Columbia,5557,2000-09,252
66155,20037,Washington,DC,Washington,District of Columbia,5557,2000-10,255
66155,20037,Washington,DC,Washington,District of Columbia,5557,2000-11,262
66155,20037,Washington,DC,Washington,District of Columbia,5557,2000-12,272
66155,20037,Washington,DC,Washington,District of Columbia,5557,2001-01,279
66155,20037,Washington,DC,Washington,District of Columbia,5557,2001-02,282
66155,20037,Washington,DC,Washington,District of Columbia,5557,2001-03,286
66155,20037,Washington,DC,Washington,District of Columbia,5557,2001-04,291
66155,20037,Washington,DC,Washington,District of Columbia,5557,2001-05,296
66155,20037,Washington,DC,Washington,District of Columbia,5557,2001-06,300
66155,20037,Washington,DC,Washington,District of Columbia,5557,2001-07,307
66155,20037,Washington,DC,Washington,District of Columbia,5557,2001-08,312
66155,20037,Washington,DC,Washington,District of Columbia,5557,2001-09,317
66155,20037,Washington,DC,Washington,District of Columbia,5557,2001-10,321
66155,20037,Washington,DC,Washington,District of Columbia,5557,2001-11,324
66155,20037,Washington,DC,Washington,District of Columbia,5557,2001-12,326
66155,20037,Washington,DC,Washington,District of Columbia,5557,2002-01,327
66155,20037,Washington,DC,Washington,District of Columbia,5557,2002-02,329
66155,20037,Washington,DC,Washington,District of Columbia,5557,2002-03,336
66155,20037,Washington,DC,Washington,District of Columbia,5557,2002-04,343
66155,20037,Washington,DC,Washington,District of Columbia,5557,2002-05,352
66155,20037,Washington,DC,Washington,District of Columbia,5557,2002-06,362
66155,20037,Washington,DC,Washington,District of Columbia,5557,2002-07,369
66155,20037,Washington,DC,Washington,District of Columbia,5557,2002-08,372
66155,20037,Washington,DC,Washington,District of Columbia,5557,2002-09,376
66155,20037,Washington,DC,Washington,District of Columbia,5557,2002-10,380
66155,20037,Washington,DC,Washington,District of Columbia,5557,2002-11,384
66155,20037,Washington,DC,Washington,District of Columbia,5557,2002-12,389
66155,20037,Washington,DC,Washington,District of Columbia,5557,2003-01,394
66155,20037,Washington,DC,Washington,District of Columbia,5557,2003-02,399
66155,20037,Washington,DC,Washington,District of Columbia,5557,2003-03,401
66155,20037,Washington,DC,Washington,District of Columbia,5557,2003-04,400
66155,20037,Washington,DC,Washington,District of Columbia,5557,2003-05,399
66155,20037,Washington,DC,Washington,District of Columbia,5557,2003-06,397
66155,20037,Washington,DC,Washington,District of Columbia,5557,2003-07,397
66155,20037,Washington,DC,Washington,District of Columbia,5557,2003-08,402
66155,20037,Washington,DC,Washington,District of Columbia,5557,2003-09,409
66155,20037,Washington,DC,Washington,District of Columbia,5557,2003-10,416
66155,20037,Washington,DC,Washington,District of Columbia,5557,2003-11,421
66155,20037,Washington,DC,Washington,District of Columbia,5557,2003-12,425
66155,20037,Washington,DC,Washington,District of Columbia,5557,2004-01,431
66155,20037,Washington,DC,Washington,District of Columbia,5557,2004-02,439
66155,20037,Washington,DC,Washington,District of Columbia,5557,2004-03,446
66155,20037,Washington,DC,Washington,District of Columbia,5557,2004-04,453
66155,20037,Washington,DC,Washington,District of Columbia,5557,2004-05,461
66155,20037,Washington,DC,Washington,District of Columbia,5557,2004-06,471
66155,20037,Washington,DC,Washington,District of Columbia,5557,2004-07,480
66155,20037,Washington,DC,Washington,District of Columbia,5557,2004-08,490
