,Stat,ML#,Address,List Price,Close Price,Close Date,Bedrooms,Baths Full,Baths Half,Levels,Fireplaces,Basement Y/N,Acres,Year Built,DOMP,Total Taxes,Tax Total Living Area,Zip
735,Sold,DC7354438DC7354438,3357 Runnymede Pl Nw,"$1,195,000","$1,125,000",28-Jul-2010,5,2,1,4,1,No,0.124,1938,27,"$8,995","2,575",20015
736,Sold,DC7319346DC7319346,3600 McKinley St Nw,"$729,000","$700,000",30-Jul-2010,3,1,1,3,1,Yes,0.099,1927,56,"$6,870","1,881",20015
737,Sold,DC7338165DC7338165,6240 Utah Ave Nw,"$655,000","$659,200",30-Jul-2010,2,1,1,3,1,Yes,0.152,1931,6,"$5,581","1,356",20015
738,Sold,DC7321182DC7321182,6003 34th Pl Nw,"$840,000","$840,000",02-Aug-2010,3,2,1,4,2,Yes,0.176,1931,40,"$8,657","2,080",20015
739,Sold,DC7350388DC7350388,3705 Jenifer St Nw,"$839,900","$840,000",02-Aug-2010,3,2,0,3,1,Yes,0.133,1938,15,"$7,509","1,794",20015
740,Sold,DC7299908DC7299908,3279 Van Hazen St Nw,"$1,100,000","$1,090,000",04-Aug-2010,4,4,1,4,1,Yes,0.158,1926,92,"$6,670",,20015
741,Sold,DC7366205DC7366205,5451 42nd St Nw,"$715,000","$765,000",04-Aug-2010,4,4,0,4,2,Yes,0.161,1939,5,"$6,857","2,086",20015
742,Sold,DC7367790DC7367790,6217 31st St Nw,"$859,000","$865,000",05-Aug-2010,5,3,1,4,1,Yes,0.158,1936,10,"$6,987","1,917",20015
743,Sold,DC7332229DC7332229,3055 Oliver St Nw,"$839,000","$834,000",11-Aug-2010,4,2,2,4,1,Yes,0.127,1948,66,"$6,787","1,955",20015
744,Sold,DC7351557DC7351557,2763 Unicorn Ln Nw,"$899,000","$869,000",11-Aug-2010,3,2,2,3,1,No,0.054,1975,285,,"2,920",20015
745,Sold,DC7351563DC7351563,2755 Unicorn Ln Nw,"$839,000","$840,000",13-Aug-2010,3,2,2,5,1,No,0.047,1978,26,"$7,409","3,120",20015
746,Sold,DC7367826DC7367826,3342 Stephenson Pl Nw,"$1,100,000","$1,050,000",13-Aug-2010,4,3,0,4,2,Yes,0.129,1936,31,"$8,423","2,742",20015
747,Sold,DC7336990DC7336990,5428 30th Pl Nw,"$775,000","$755,000",19-Aug-2010,5,3,1,4,1,Yes,0.111,1935,29,"$6,338","1,783",20015
748,Sold,DC7353761DC7353761,2967 McKinley St Nw,"$865,000","$840,000",19-Aug-2010,5,2,2,4,1,Yes,0.117,1939,29,"$7,554","2,303",20015
749,Sold,DC7381117DC7381117,6159 31st Pl Nw,"$789,000","$799,900",20-Aug-2010,4,3,0,4,1,Yes,0.114,1935,1,"$7,149","1,721",20015
750,Sold,DC7389960DC7389960,6215 32nd Pl Nw,"$735,000","$718,000",27-Aug-2010,3,2,1,5,1,Yes,0.106,1910,19,"$5,684","1,879",20015
751,Sold,DC7349705DC7349705,2950 Northampton St Nw,"$759,000","$759,000",31-Aug-2010,4,2,0,4,1,Yes,0.117,1930,12,"$5,893","1,616",20015
752,Sold,DC7389860DC7389860,6934 Greenvale St Nw,"$749,950","$745,000",31-Aug-2010,4,3,0,3,2,Yes,0.22,1951,8,"$6,674","1,724",20015
753,Sold,DC7365479DC7365479,5328 Connecticut Ave Nw,"$969,999","$962,500",01-Sep-2010,4,4,2,4,3,No,0.029,1989,258,"$9,950","1,647",20015
754,Sold,DC7338911DC7338911,3902 Ingomar St Nw,"$1,395,000","$1,395,000",03-Sep-2010,5,4,1,4,1,Yes,0.147,1905,46,"$10,557","3,006",20015
