RegionID,RegionName,City,State,Metro,CountyName,SizeRank,MedianSoldPricePerSqft,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2011-04,403.2996
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2011-05,417.6852
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2011-06,436.971
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2011-07,405.1965
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2011-08,388.003
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2011-09,398.9862
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2011-10,443.5955
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2011-11,414.3179
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2011-12,422.8251
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2012-01,426.1761
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2012-02,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2012-03,403.4146
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2012-04,403.6235
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2012-05,413.8963
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2012-06,420.4436
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2012-07,426.358
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2012-08,427.0318
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2012-09,427.7652
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2012-10,435.3482
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2012-11,445.798
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2012-12,450.6422
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2013-01,433.535
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2013-02,450.9376
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2013-03,458.0015
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2013-04,485.4275
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2013-05,8315.458
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2013-06,5970.039
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2013-07,2831.633
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2013-08,469.6024
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2013-09,473.4778
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2013-10,505.659
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2013-11,514.9533
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2013-12,533.2013
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2014-01,521.2543
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2014-02,526.5873
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2014-03,543.9922
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2014-04,514.6081
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2014-05,517.1741
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2014-06,513.8113
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2014-07,494.7662
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2014-08,520.6205
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2014-09,528.2582
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2014-10,515.0951
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2014-11,521.4383
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2014-12,531.8086
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2015-01,546.1246
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2015-02,547.7993
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2015-03,555.2637
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2015-04,552.7935
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2015-05,544.8009
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2015-06,546.0888
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2015-07,537.9676
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2015-08,539.1958
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2015-09,564.9374
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2015-10,550.783
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2015-11,525.6735
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2015-12,515.2888
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2016-01,537.7836
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2016-02,549.0216
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2016-03,603.8313
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2016-04,604.8396
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2016-05,593.7229
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2016-06,575.5604
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2016-07,577.0632
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1996-04,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1996-05,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1996-06,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1996-07,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1996-08,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1996-09,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1996-10,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1996-11,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1996-12,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1997-01,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1997-02,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1997-03,
