,Rank,Rank_Year,School,School URL,District,District URL,City,City URL,Zip,County,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score,Rank Change from Prior Year,SchoolDigger Star Rating
53,54,2009-10,Kelly Miller Middle School,https://www.schooldigger.com/go/DC/schools/0003000272/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20019,District Of Columbia,06,8,Yes,No,No,No,405,34.0,11.9,93.3,98.8,0.0,0.0,1.2,,,0.0,11.0,,1
54,55,2009-10,Kramer Middle School,https://www.schooldigger.com/go/DC/schools/0003000143/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20020,District Of Columbia,06,8,Yes,No,No,No,303,28.0,10.8,89.8,100.0,0.0,0.0,0.0,,,0.0,10.5,,0
55,56,2009-10,Browne Ec,https://www.schooldigger.com/go/DC/schools/0003000152/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20002,District Of Columbia,PK,8,Yes,No,No,No,442,40.0,11.0,97.5,99.8,0.0,0.2,0.0,,,0.0,10.0,,0
56,57,2009-10,Hart Middle School,https://www.schooldigger.com/go/DC/schools/0003000135/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20032,District Of Columbia,06,8,Yes,No,No,No,414,37.0,11.1,90.6,99.5,0.0,0.0,0.2,,,0.2,9.4,,0
57,58,2009-10,Johnson John Hayden Middle School,https://www.schooldigger.com/go/DC/schools/0003000144/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20020,District Of Columbia,06,8,Yes,No,No,No,277,27.0,10.2,92.8,99.6,0.0,0.0,0.4,,,0.0,7.3,,0
58,59,2009-10,Options Pcs,https://www.schooldigger.com/go/DC/schools/0001800232/school.aspx,Options Pcs,https://www.schooldigger.com/go/DC/district/00018/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20002,District Of Columbia,07,12,Yes,Yes,No,No,319,61.0,5.2,84.0,99.1,0.0,0.6,0.3,,,0.0,5.9,,0
59,1,2010-11,Achievement Preparatory Academy PCS Middle School,https://www.schooldigger.com/go/DC/schools/0007200405/school.aspx,Achievement Prep Academy Pcs,https://www.schooldigger.com/go/DC/district/00072/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20032,District Of Columbia,04,8,Yes,Yes,No,No,203,17.0,11.9,89.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3,1.0,5
60,2,2010-11,Oyster Adams Bilingual School Oyster,https://www.schooldigger.com/go/DC/schools/0003000160/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20008,District Of Columbia,PK,8,No,No,No,No,677,63.0,10.7,12.3,8.1,0.1,3.1,57.6,0.0,3.4,27.6,96.2,4.0,5
61,3,2010-11,D C Prep Edgewood Middle Campus Pcs,https://www.schooldigger.com/go/DC/schools/0004800277/school.aspx,Dc Preparatory Academy Pcs,https://www.schooldigger.com/go/DC/district/00048/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20017,District Of Columbia,04,8,Yes,Yes,No,No,283,30.0,9.4,79.5,94.7,0.0,0.4,1.4,0.4,0.0,3.2,94.2,-2.0,5
62,4,2010-11,Deal Middle School,https://www.schooldigger.com/go/DC/schools/0003000138/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20016,District Of Columbia,06,8,No,No,No,No,1023,68.0,15.0,22.9,35.8,0.3,5.4,12.0,0.2,5.7,40.7,94.2,-1.0,5
